place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,instagram,necesita_busqueda_manual,email,contactar_por_telefono,web_estado
ChIJ7zm0lzH1QQ0Rci__zjYzjZk,Floristería Gloxinia,Floristeria,Parla,"C. de Alcorcón, 8, 28981 Parla, Madrid, España",+34 916 98 37 39,http://floristeriagloxinia.com/,True,4.7,228,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ7zm0lzH1QQ0Rci__zjYzjZk.jpg,https://instagram.com/floristeriagloxiniaparla,False,info@floristeriagloxinia.com,False,propia
ChIJ-8LIPrT1QQ0RDUgZA_EmXc8,Floristería Caprichos Parla,Floristeria,Parla,"Junto a Renfe (Bulevar Norte, Calle Real, 97, 28981 Parla, Madrid, España",+34 916 05 06 07,https://www.floristeriacaprichos.com/,True,4.4,167,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ-8LIPrT1QQ0RDUgZA_EmXc8.jpg,https://instagram.com/floristeriacaprichosparla,False,caprichosparla@hotmail.com,False,propia
ChIJnRCIZjn1QQ0RBxe4vKzBAec,Floristería Davinia,Floristeria,Parla,"C. Jaime I el Conquistador, 19, 28982 Parla, Madrid, España",+34 656 91 77 23,https://www.floristeriadavinia.es/,True,4.2,159,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJnRCIZjn1QQ0RBxe4vKzBAec.jpg,https://instagram.com/floristeriadavinia,False,floristeriadavinia@gmail.com,False,propia
ChIJjQxt8U71QQ0RvTf7rDKHce4,Olivia's Flowers CC El Ferial,Floristeria,Parla,"C.C. EL FERIAL Local 9, C. de Pinto, s/n, 28980 Parla, Madrid, España",+34 916 99 54 39,https://floristeriaoliviasflowers.com/,True,4.3,74,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJjQxt8U71QQ0RvTf7rDKHce4.jpg,https://instagram.com/floristeriaoliviasflowersparla,False,info@floristeriaoliviasflowers.com,False,propia
ChIJs0QRAKf1QQ0RCvhWnt7dZyw,Floristería Gloxinia,Floristeria,Parla,"C. de Pinto, 39, 28982 Parla, Madrid, España",+34 911 49 00 24,https://floristeriagloxinia.com/,True,4.7,47,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJs0QRAKf1QQ0RCvhWnt7dZyw.jpg,https://instagram.com/floristeriagloxiniaparla,False,info@floristeriagloxinia.com,False,propia
ChIJjytFQp31QQ0R5dG7vwG-ijc,FLORISTERIA PARLA ESTE,Floristeria,Parla,"Av. de los Planetas, 2, Loc 8, 28983 Parla, Madrid, España",+34 918 02 18 15,,False,3.9,22,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJjytFQp31QQ0R5dG7vwG-ijc.jpg,,True,,True,ninguna
ChIJUVWJfEX1QQ0ReMvTKgkYazo,Centro de Jardinería AroDan,Floristeria,Parla,"Av. Cerro del Rubal, 11, 28983 Parla, Madrid, España",+34 916 05 33 58,http://www.arodan.es/,True,4.6,457,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJUVWJfEX1QQ0ReMvTKgkYazo.jpg,,True,info@arodan.es,False,propia
ChIJZzLmJDH1QQ0RaAEtoZFJK1w,El Arriate Flores,Floristeria,Parla,"Calle Cristina Sánchez 10 esq, C. Domingo Malagón, 28982 Parla, Madrid, España",+34 910 84 61 92,http://www.instagram.com/floristeriaelarriate,False,4.6,40,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZzLmJDH1QQ0RaAEtoZFJK1w.jpg,https://instagram.com/floristeriaelarriate,False,,True,social
ChIJwXCDHk71QQ0RTeCbtUT04Jo,Floristería Fia,Floristeria,Parla,"C. Griñón, 12, 28991 Torrejón de la Calzada, Madrid, España",+34 642 32 23 22,https://floristeriafia.com/,True,4.9,393,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJwXCDHk71QQ0RTeCbtUT04Jo.jpg,,True,,True,propia
ChIJ_2TMhMqOQQ0R_DDzdeAAL-w,Floristería Las Camelias Arte Floral,Floristeria,Parla,"C. Nueva, 10, 28921 Alcorcón, Madrid, España",+34 914 86 04 50,https://www.lascameliasartefloral.com/,True,4.8,985,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ_2TMhMqOQQ0R_DDzdeAAL-w.jpg,https://instagram.com/lascamelias,False,info@lascameliasartefloral.com,False,propia
ChIJh9WV2mEhQg0Rb2Uyer9qNiU,MARSILEA FLORISTAS,Floristeria,Parla,"C. Madrid, 36, local izquierdo, 28901 Getafe, Madrid, España",+34 912 99 81 01,,False,4.7,170,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJh9WV2mEhQg0Rb2Uyer9qNiU.jpg,,True,,True,ninguna
ChIJX9rOrXb1QQ0R8thRvVV829k,Floristería parla – PANDA SHOP (Hospital Infanta Cristina),Floristeria,Parla,"Av. 9 de Junio, 2, 28981 Parla, Madrid, España",+34 625 47 11 53,,False,5,1,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJX9rOrXb1QQ0R8thRvVV829k.jpg,,True,,True,ninguna
ChIJr2tgVWb1QQ0R3HPvvSHUqow,Botanic Alma Terrarios y Kokedamas,Floristeria,Parla,"C. Benito Pérez Galdós, 158, 28991 Torrejón de la Calzada, Madrid, España",+34 640 96 63 59,https://www.botanicalma.es/,True,5,306,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJr2tgVWb1QQ0R3HPvvSHUqow.jpg,https://instagram.com/botanic_alma,False,info@botanicalma.es,False,propia
ChIJXQjWmqKKQQ0RthHXuP11HfE,Shuang Zhi,Floristeria,Parla,"C. Riaño, 9, 28947 Fuenlabrada, Madrid, España",+34 916 42 34 80,http://shuang-zhi.com/,True,4.1,26,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJXQjWmqKKQQ0RthHXuP11HfE.jpg,https://instagram.com/whatsapp,False,comercial@shuang-zhi.com,False,propia
ChIJPZfeoZ6LQQ0R0f9VKmTqqTU,Domoflor,Floristeria,Parla,"C. Villafranca del Bierzo, 1, 28947 Fuenlabrada, Madrid, España",+34 689 71 42 40,,False,4.4,50,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJPZfeoZ6LQQ0R0f9VKmTqqTU.jpg,,True,,True,ninguna
ChIJJ0-q44qLQQ0Rg66ylmqeA6Y,Poenía Arte Floral,Floristeria,Parla,"C. León, 29, 28947 Fuenlabrada, Madrid, España",+34 916 15 81 99,http://www.poenia.com/,True,5,110,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJJ0-q44qLQQ0Rg66ylmqeA6Y.jpg,,True,admin@poenia.com,False,propia
ChIJ02UcyDiLQQ0R42H714CGN0w,Verdecasa 2023,Floristeria,Parla,"C. Toreno, 29, 28947 Fuenlabrada, Madrid, España",+34 626 51 12 92,https://verdecasa2023.es/,True,4.4,33,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ02UcyDiLQQ0R42H714CGN0w.jpg,,True,verdecasa2023@gmail.com,False,propia
ChIJpR6AW8IgQg0RiGbBDdBYRoA,Tu Floristería en Casa,Floristeria,Parla,"C. Murcia, 20, 28903 Getafe, Madrid, España",+34 657 05 41 21,http://www.tufloristeriaencasa.com/,True,4.2,72,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJpR6AW8IgQg0RiGbBDdBYRoA.jpg,,True,,True,propia
ChIJbU9KdV71QQ0RhdqcCPy-zqM,Biodistribuciones 2010 S L,Floristeria,Parla,"C. Constelación Orión, 44, 28983 Parla, Madrid, España",+34 914 25 44 43,,False,5,1,,,True,,True,ninguna
