place_id,business_name,type_label,city,address,phone,website,tiene_web,web_estado,rating,review_count,photo_path,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJT9TcCD_1QQ0Rx48-IxWBjiw,Agencia inmobiliaria LAS AMÉRICAS,Inmobiliaria,Parla,"C. Isabel II, 30, 28982 Parla, Madrid, España",+34 916 99 91 07,http://www.inmobiliarialasamericas.com/,True,propia,5,231,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT9TcCD_1QQ0Rx48-IxWBjiw.jpg,,True,no,web moderna
ChIJ94J6vg_1QQ0R6OY4bs6FAFA,Casalia Property's Inmobiliaria,Inmobiliaria,Parla,"Calle Real, 23, Loc Izquierda, 28981 Parla, Madrid, España",+34 911 52 20 86,http://www.casalia.org/,True,propia,5,326,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ94J6vg_1QQ0R6OY4bs6FAFA.jpg,inmobiliaria@casalia.org,False,no,web moderna
ChIJCYe0Usn1QQ0RZrQEkbhogJc,Inmobiliaria Empire Real Estate Properties,Inmobiliaria,Parla,"C. de Pinto, 77, 28982 Parla, Madrid, España",+34 912 42 71 34,http://www.empirerealestateprop.es/,True,propia,4.8,459,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJCYe0Usn1QQ0RZrQEkbhogJc.jpg,,True,no,web moderna
ChIJm6EPAff1QQ0RMqv-EJPNUuQ,ROOM-HOUSE Inmobiliaria S.L.,Inmobiliaria,Parla,"C. de Getafe, 17, Loc 38, 28981 Parla, Madrid, España",+34 910 34 46 81,http://www.rhinmo.com/,True,propia,4.9,160,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJm6EPAff1QQ0RMqv-EJPNUuQ.jpg,info@rhinmo.com,False,no,web moderna
ChIJ0cm31Tb1QQ0R0oOgTEvntaw,Jacqueline Álvarez Servicios Inmobiliarios,Inmobiliaria,Parla,"C. San Antón, 49, 28982 Parla, Madrid, España",+34 692 90 90 18,https://www.jalvarezinmobiliaria.net/,True,propia,4.9,183,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0cm31Tb1QQ0R0oOgTEvntaw.jpg,info@jacquelinealvarez.es,False,no,web moderna
ChIJP2ZIOsD1QQ0RkixcB4TcHnY,SI!CASA Inmobiliaria – Parla,Inmobiliaria,Parla,"Calle Real, 2, 28981 Parla, Madrid, España",+34 916 98 18 91,https://www.sicasamadrid.es/,True,propia,4.4,65,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJP2ZIOsD1QQ0RkixcB4TcHnY.jpg,,True,no,web moderna
ChIJBZ9BVDH1QQ0RCKEEBZxBreI,Esalje Inmobiliaria - GRUPO URBENTIS,Inmobiliaria,Parla,"Calle Real, 101, 28981 Parla, Madrid, España",+34 916 98 22 63,http://www.esalje.com/,True,propia,4.7,109,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJBZ9BVDH1QQ0RCKEEBZxBreI.jpg,,True,?,no carga (SSLError)
ChIJd-pgS0P1QQ0R-ZzEsWhbajc,Inmobiliaria Hogares en Parla Este,Inmobiliaria,Parla,"C. del Planeta Tierra, 46, 28983 Parla, Madrid, España",+34 649 29 47 97,https://www.hogaresgroup.es/,True,franquicia,4.6,75,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJd-pgS0P1QQ0R-ZzEsWhbajc.jpg,alcobendasnorte@hogaresgroup.es,False,,
ChIJA78vejr1QQ0RoaQgwU7awrE,Inmobiliaria en Parla Mr House Real Estate,Inmobiliaria,Parla,"C. de Pinto, 69, 28982 Parla, Madrid, España",+34 916 64 40 54,http://www.mrhouse.es/,True,propia,4.2,168,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJA78vejr1QQ0RoaQgwU7awrE.jpg,diego.vazquez@mrhouse.es,False,no,web moderna
ChIJo7KJzVv1QQ0Rz4K02xWPQpo,Navarro Real Estate,Inmobiliaria,Parla,"C. San Antón, 35, 28982 Parla, Madrid, España",+34 919 28 66 39,http://www.navarrorealestate.es/,True,propia,4.9,156,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJo7KJzVv1QQ0Rz4K02xWPQpo.jpg,navarrorealest@gmail.com,False,no,web moderna
ChIJ-YTTzjv1QQ0RJh85WKSyUkE,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"C. Reina Victoria, 21 bis, Loc 2, 28982 Parla, Madrid, España",+34 913 48 56 64,https://parla5.tecnocasa.es/,True,franquicia,4.8,206,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ-YTTzjv1QQ0RJh85WKSyUkE.jpg,mdbp7@tecnocasa.es,False,,
ChIJt2w4xjf1QQ0RNdPraOnM8Bw,Pisofacil.net Grupo Inversor Ideal para ti,Inmobiliaria,Parla,"C. de Pinto, 52, 28982 Parla, Madrid, España",+34 685 49 49 71,https://www.pisofacil.net/,True,propia,4.6,214,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJt2w4xjf1QQ0RNdPraOnM8Bw.jpg,info@pisofacil.net,False,no,web moderna
ChIJoWMtHoL1QQ0R5FkBTWcJsgM,Black House Servicios Inmobiliarios - Madrid Sur,Inmobiliaria,Parla,"Av. del Leguario, 49, 28981 Parla, Madrid, España",+34 640 92 68 69,http://www.blackhouse.one/,True,propia,4.8,219,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJoWMtHoL1QQ0R5FkBTWcJsgM.jpg,informacion@blackhouse.one,False,no,web moderna
ChIJm-lyyrz1QQ0R8QJ1F-f88TE,"URBIZA, gestiones inmobiliarias",Inmobiliaria,Parla,"C. Reina Victoria, 19, 28982 Parla, Madrid, España",+34 624 44 38 73,https://www.alfaurbiza.com/,True,propia,4.7,58,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJm-lyyrz1QQ0R8QJ1F-f88TE.jpg,,True,no,web moderna
ChIJiagsviv1QQ0RXroprO_O4sU,AMR INMOBILIARIA,Inmobiliaria,Parla,"C. Reyes Católicos, 73, 28982 Parla, Madrid, España",+34 910 96 44 38,http://www.inmoamr.es/,True,propia,4.5,73,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJiagsviv1QQ0RXroprO_O4sU.jpg,,True,no,web moderna
ChIJEYMdsTX1QQ0RVETz0qsCFHA,Inmobiliaria Parla Este Redpiso,Inmobiliaria,Parla,"Av. de las Estrellas, 37, 28983 Parla, Madrid, España",+34 918 25 00 12,https://www.redpiso.es/oficina/inmobiliaria-parla-este/venta,True,franquicia,4.5,80,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJEYMdsTX1QQ0RVETz0qsCFHA.jpg,,True,,
ChIJ__9jSUj1QQ0RJHNJQqh8tlA,Inmobiliaria Parla - Reyes - Las Américas Redpiso,Inmobiliaria,Parla,"C. de Pinto, 65, 28982 Madrid, España",+34 910 29 98 36,https://www.redpiso.es/oficina/inmobiliaria-parla-reyes-las-americas/venta,True,franquicia,4.3,85,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ__9jSUj1QQ0RJHNJQqh8tlA.jpg,,True,,
ChIJAQBAEz_1QQ0RPvsp8uZrN2A,InmoDiva SL,Inmobiliaria,Parla,"C. Isabel II, 35, 28982 Parla, Madrid, España",+34 911 25 41 70,http://www.inmodiva.com/,True,propia,4.7,51,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJAQBAEz_1QQ0RPvsp8uZrN2A.jpg,inmodiva@gmail.com,False,no,web moderna
ChIJ___vrzv1QQ0RP2c2imVZqPg,Grupo Encinas,Inmobiliaria,Parla,"C. María Cristina, 25, 28982 Parla, Madrid, España",+34 912 49 23 67,http://www.inmoencinas.com/,True,propia,4,73,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ___vrzv1QQ0RP2c2imVZqPg.jpg,david@inmoencinas.com,False,si,en construccion
ChIJxbihVjf1QQ0RNrJUV5O1D30,Proyecto Inmobiliaria,Inmobiliaria,Parla,"C. Domingo Malagón, 3, 28982 Parla, Madrid, España",+34 916 05 88 38,http://www.proyectoinmobiliaria.com/,True,propia,3.7,27,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJxbihVjf1QQ0RNrJUV5O1D30.jpg,info@proyectoinmobiliaria.com,False,no,web moderna
ChIJWTM2Dr_1QQ0RbEPAI3X3cD8,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"C. de Pinto, 39, 28981 Parla, Madrid, España",+34 605 59 47 99,https://parla6.tecnocasa.es/,True,franquicia,4.9,99,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJWTM2Dr_1QQ0RbEPAI3X3cD8.jpg,md517@tecnocasa.es,False,,
ChIJ43Z2GLT1QQ0ROnzXrVwtyWM,FincaMAD,Inmobiliaria,Parla,"C. Valladolid, 10, 28982 Parla, Madrid, España",+34 688 13 72 34,https://www.fincamad.es/,True,propia,3.2,21,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ43Z2GLT1QQ0ROnzXrVwtyWM.jpg,,True,no,web moderna
ChIJ74KvEef1QQ0ReunqflqHPMY,ZenUrban Multiservicios Inmobiliarios Parla 马德里瑞安地产,Inmobiliaria,Parla,"C. de Pinto, 38, 28982 Parla, Madrid, España",+34 910 23 64 41,https://www.idealista.com/pro/zen-urban/,False,agregador,5,35,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ74KvEef1QQ0ReunqflqHPMY.jpg,,True,,
ChIJ0eddwDr1QQ0RuGood6BJaac,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"Calle Real, 2, local, 28981 Parla, Madrid, España",+34 916 98 32 77,https://parla2.tecnocasa.es/,True,franquicia,4.7,144,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0eddwDr1QQ0RuGood6BJaac.jpg,mdbp3@tecnocasa.es,False,,
ChIJm5Lu9zP1QQ0RR7x9YQtcaMk,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"C. Río Ebro, 1, Loc, 28981 Parla, Madrid, España",+34 605 74 84 21,https://parla4.tecnocasa.es/,True,franquicia,5,124,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJm5Lu9zP1QQ0RR7x9YQtcaMk.jpg,,True,,
ChIJi98Yhe71QQ0RD_u7m9YKOIc,GilMerino Soluciones Inmobiliarias y Financieras Parla,Inmobiliaria,Parla,"C. Alfonso X el Sabio, 17, 28982 Parla, Madrid, España",+34 919 51 87 62,https://gilmer.es/,True,propia,5,4,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJi98Yhe71QQ0RD_u7m9YKOIc.jpg,solucionesfinancieras@gilmer.es,False,no,web moderna
ChIJnZ_KwzD1QQ0R-4IQ9phntWk,Imobiliaria Parla - Centro Redpiso,Inmobiliaria,Parla,"Calle Real, 51, 28981 Madrid, España",+34 918 31 51 81,https://www.redpiso.es/oficina/inmobiliaria-parla-centro/venta,True,franquicia,4.3,74,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJnZ_KwzD1QQ0R-4IQ9phntWk.jpg,,True,,
ChIJFwsDwjD1QQ0RtV3dGQELW68,Jhogar,Inmobiliaria,Parla,"Calle Real, 48, 28982 Parla, Madrid, España",+34 916 98 14 83,,False,ninguna,3.5,14,,,True,,
ChIJwQdQqDD1QQ0RRguNeeoEf3g,Fuente Larín,Inmobiliaria,Parla,"Av. de Ronda, 38, 28982 Parla, Madrid, España",+34 661 77 97 36,https://www.fuentelarin.com/,True,propia,3.7,35,,info@fuentelarin.com,False,no,web moderna
ChIJe8FLmiP1QQ0R2OqYwZqWrc4,Innodomo,Inmobiliaria,Parla,"C. María Zambrano, 26, Loc 1, 28981 Parla, Madrid, España",+34 917 37 60 63,http://innodomo.es/,True,propia,4.3,52,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJe8FLmiP1QQ0R2OqYwZqWrc4.jpg,inmobiliaria@innodomo.es,False,si,sin https
ChIJBcL7xmn1QQ0RMie_50Nxn-8,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"C. del Planeta Venus, 12, Loc 8b, 28983 Parla, Madrid, España",+34 912 88 41 58,https://parla1.tecnocasa.es/,True,franquicia,4.7,149,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJBcL7xmn1QQ0RMie_50Nxn-8.jpg,,True,,
ChIJST47zkD1QQ0R8-nT9enbeTE,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"C. Domingo Malagón, 3, Loc 3, 28982 Parla, Madrid, España",+34 605 89 46 98,https://parla8.tecnocasa.es/,True,franquicia,5,53,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJST47zkD1QQ0R8-nT9enbeTE.jpg,,True,,
ChIJNwJEVhL1QQ0RseotxRBy2gc,HOGAR 360 Agencia inmobiliaria en Parla,Inmobiliaria,Parla,"C. Valladolid, 3, 28982 Parla, Madrid, España",+34 684 37 57 44,http://www.hogar360.es/,True,propia,3.7,24,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJNwJEVhL1QQ0RseotxRBy2gc.jpg,,True,no,web moderna
ChIJs1Hd9IX1QQ0RjtSDDfcPd-k,Tecnocasa agencia inmobiliaria,Inmobiliaria,Parla,"calle Planeta Urano, 2, local 6, 28983 Parla, Madrid, España",+34 913 01 73 69,https://parla7.tecnocasa.es/,True,franquicia,4.7,48,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJs1Hd9IX1QQ0RjtSDDfcPd-k.jpg,,True,,
ChIJSbJbfqX1QQ0Rgwg7HYcgQgo,Madrid Inmobiliaria,Inmobiliaria,Parla,"C. Reina Victoria, 32, 28982 Parla, Madrid, España",+34 614 09 93 34,,False,ninguna,,,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJSbJbfqX1QQ0Rgwg7HYcgQgo.jpg,,True,,
ChIJU_3mlUn1QQ0RVOCWCt3-gRI,Inmo 3,Inmobiliaria,Parla,"C. Valladolid, 21, 28982 Parla, Madrid, España",+34 916 98 94 78,,False,ninguna,4.4,20,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJU_3mlUn1QQ0RVOCWCt3-gRI.jpg,,True,,
