place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alimentación y panadería Gomez,Panaderia,Parla,"C. Río Sil, 1, 28981 Parla, Madrid, España",+34 629 25 85 53,,False,,,,ninguna,,True,,
,Alina,Panaderia,Parla,"28983 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Boutique Del Pan,Panaderia,Parla,"C. de Juan XXIII, 10, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Buenos Días Princesa Parla,Panaderia,Parla,"Avenida 9 de Junio, 2 Hospital Universitario Infanta Cristina, Av. 9 de Junio, 2, 28981 Parla, Madrid, España",+34 648 63 74 27,https://www.bdp-buenosdiasprincesa.com/,True,,,,propia,,True,,
,"Caprichos cake, Madrid",Panaderia,Parla,"C. María Cristina, 4, 28982 Madrid, España",+34 675 11 99 02,http://caprichoscake.com/,True,,,,propia,,True,,
,DMarie Panadería y pastelería,Panaderia,Parla,"Calle Pinto 42, Esq, C. Calderillo, 1, local, 28980 Parla, Madrid, España",+34 911 19 82 23,,False,,,,ninguna,,True,,
,Dulce Duo,Panaderia,Parla,"C. de Cuenca, 4, 28982 Parla, Madrid, España",+34 664 66 73 17,,False,,,,ninguna,,True,,
,Dulsania Obrador Sin Gluten,Panaderia,Parla,"Calle Jaime I el Conquistador, 26, local 1 Semiesquina, C. de Felipe II, 28982 Parla, Madrid, España",+34 693 94 77 42,http://www.dulsania.es/,True,,,,propia,,True,,
,ECUAPAN PARLA,Panaderia,Parla,"C. de Burgos, 8, 28982 Parla, Madrid, España",+34 916 05 80 76,https://ecuapan.jimdosite.com/,True,,,,builder,,True,,
,Ecuapan,Panaderia,Parla,"C. San Antón, 63, 28982 Parla, Madrid, España",+34 623 41 27 24,,False,,,,ninguna,,True,,
,Horno Parla,Panaderia,Parla,"C. la Sal, 36, 28981 Parla, Madrid, España",+34 916 98 34 39,http://www.pasteleriaenparla.es/,True,,,,propia,,True,,
,Horno de Bollería Extremeña Hnos. Fresno.,Panaderia,Parla,"C. Rio Lozoya, 1, 28981 Parla, Madrid, España",+34 912 79 65 14,,False,,,,ninguna,,True,,
,Impresión de Azúcar,Panaderia,Parla,"C. San Roque, 63, Loc A, 28982 Parla, Madrid, España",+34 624 21 24 50,http://www.impresiondeazucar.es/,True,,,,propia,,True,,
,Ivana Cakes,Panaderia,Parla,"C. Leganés, 26, 28981 Parla, Madrid, España",+34 631 15 05 92,,False,,,,ninguna,,True,,
,La Espiga De Oro,Panaderia,Parla,"28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Multisabores,Panaderia,Parla,"C. Carlos V, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Natural Pan,Panaderia,Parla,"C. Isabel II, n 12, 28982 Parla, Madrid, España",+34 912 12 92 42,http://www.naturalpanmadrid.com/,True,,,,propia,,True,,
,Obrador alto trigo,Panaderia,Parla,"Av. del Sistema Solar, 9, 28983 Parla, Madrid, España",+34 919 95 67 47,http://obradoraltotrigo.com/,True,,,,propia,,True,,
,PANADERIA SABORES DE ENCANTO,Panaderia,Parla,"C. San Antón, 43, 28982 Parla, Madrid, España",+34 646 88 65 95,,False,,,,ninguna,,True,,
,PANADERÍA REAL,Panaderia,Parla,"C. Leganés, 9, 28981 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Pan Natural,Panaderia,Parla,"C. del Relámpago, 20, 28918 Leganés, Madrid, España",+34 916 12 41 87,http://www.pannatural.es/,True,,,,propia,,True,,
,Panaderia Pasteleria La Manchega Yuncos,Panaderia,Parla,"Av. Dr. Fleming, 21, 45210 Yuncos, Toledo, España",+34 624 60 79 69,,False,,,,ninguna,,True,,
,Panaderia y Pasteleria Ecuador Parla,Panaderia,Parla,"C. San Blas, 2, 28981 Parla, Madrid, España",+34 638 44 32 92,,False,,,,ninguna,,True,,
,Panadería Granier,Panaderia,Parla,"Plaza de las labores, 4, 28981 Parla, Madrid, España",+34 916 99 71 73,http://www.pansgranier.com/,True,,,,propia,,True,,
,Panadería pastelería Ámsterdam,Panaderia,Parla,"C. Río Guadalquivir, 4, 28981 Parla, Madrid, España",+34 631 73 34 02,https://parla-sweet-hub.lovable.app/,True,,,,propia,,True,,
,Panadería y Pastelería el Obrador Nattelbiz,Panaderia,Parla,"C. Aranjuez, 28981 Parla, Madrid, España",+34 611 86 93 19,,False,,,,ninguna,,True,,
,Pasteleria Anoval,Panaderia,Parla,"C. San Antón, 6, 28982 Parla, Madrid, España",+34 642 25 32 14,,False,,,,ninguna,,True,,
,Pasteleria la frambuesa,Panaderia,Parla,"C. Belén, 10, 28981 Parla, Madrid, España",+34 911 46 28 93,,False,,,,ninguna,,True,,
,Pastelería Cafetería La Artesana,Panaderia,Parla,"C. Valladolid, 3, 28982 Parla, Madrid, España",+34 916 05 02 55,https://pasteleriacafeterialaartesana.es/,True,,,,propia,,True,,
,Pastelería Creativa - Pan&Canela - Artesana&Contemporanea,Panaderia,Parla,"C. Cuba, 5, 28983 Parla, Madrid, España",+34 640 38 91 83,https://www.panycanela.es/,True,,,,propia,,True,,
,Pastelería Dulce,Panaderia,Parla,"C. Villafranca de los Caballeros, 28981 Parla, Madrid, España",+34 722 81 20 66,,False,,,,ninguna,,True,,
,Pastelería La Rotiseria,Panaderia,Parla,"Av. de las Estrellas, 33, 28983 Parla, Madrid, España",+34 910 46 58 09,,False,,,,ninguna,,True,,
,Pastelería Panadería Manora,Panaderia,Parla,"C. Jerusalén, 3, 28981 Parla, Madrid, España",+34 663 50 79 09,https://p-p--manora.webnode.page/,True,,,,builder,,True,,
,Pastelería Pinilla,Panaderia,Parla,"C. Alfonso XIII, 6, 28982 Parla, Madrid, España",+34 916 98 26 27,,False,,,,ninguna,,True,,
,Pastelería-panaderia Maryyoli,Panaderia,Parla,"C. Leganés, 32, 28981 Parla, Madrid, España",+34 916 99 76 70,,False,,,,ninguna,,True,,
,Restaurante El rincon del gallego,Panaderia,Parla,"C. de Fernando III El Santo, 28982 Parla, Madrid, España",+34 911 69 58 62,https://el-rincon-del-gallego.metro.bar/,True,,,,propia,,True,,
,Ruth's Repostería Creativa,Panaderia,Parla,"C. Fuentebella, 70, 1, 28981 Parla, Madrid, España",+34 643 67 65 27,,False,,,,ninguna,,True,,
,SIFRESA| Pastelería y Panadería Colombiana en Parla,Panaderia,Parla,"C. de Fernando III El Santo, 30, 28982 Parla, Madrid, España",+34 642 44 54 16,https://sifresa.com/es/home,True,,,,propia,,True,,
,Vannila Pastelería cafetería,Panaderia,Parla,"C. Aranjuez, 16, 28981 Parla, Madrid, España",+34 918 13 50 48,https://pasteleriavannila.es/,True,,,,propia,,True,,
