place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJny3XD_r1QQ0Rh3_g56YyXm8,Majús Restaurante en Parla,Restaurante,Parla,"C. Alfonso X el Sabio, 38, 28982 Parla, Madrid, España",+34 624 04 13 03,https://restaurante.covermanager.com/majus-restaurante/,True,4.7,443,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJny3XD_r1QQ0Rh3_g56YyXm8.jpg,propia,,True,no,pagina minima (622 chars)
ChIJR1hQVz71QQ0Ro2D4WkSN_Io,Restaurante El Lagar,Restaurante,Parla,"C. Cuba, 34, 28983 Parla, Madrid, España",+34 916 05 65 72,https://restaurante.covermanager.com/restaurante-el-lagar-parla/,True,4.2,755,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJR1hQVz71QQ0Ro2D4WkSN_Io.jpg,propia,,True,no,web moderna
ChIJ0cG5Kj31QQ0RT0LiZQomMwI,MESÓN RESTAURANTE EL CAZADOR,Restaurante,Parla,"C. Pablo Casals, 22, 28981 Parla, Madrid, España",+34 916 99 47 51,http://elcazador.deterrazas.com/,True,4.3,1093,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0cG5Kj31QQ0RT0LiZQomMwI.jpg,propia,,True,?,no carga (ConnectionError)
ChIJyyqgIAP1QQ0Rh_ISZD7ecT0,Co-Modo Restaurante,Restaurante,Parla,"Pl. Adolfo Marsillach, 28982 Parla, Madrid, España",+34 915 78 43 41,https://co-modo.es/,True,4.4,273,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJyyqgIAP1QQ0Rh_ISZD7ecT0.jpg,propia,,True,no,web moderna
ChIJHZ0nU471QQ0R3z-9MFKHJ-Q,La Cúspide Parla _ Restaurante Peruano,Restaurante,Parla,"C. de Pinto, 79, 28982 Parla, Madrid, España",+34 914 41 19 84,http://www.lacuspide.es/,True,4.7,958,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJHZ0nU471QQ0R3z-9MFKHJ-Q.jpg,propia,,True,no,web moderna
ChIJeYeOY7f1QQ0RLfWBpnwel6I,Ineffabile Ristorante | Restaurante italiano en Parla,Restaurante,Parla,"Av. de Las Lagunas, 1310, 28981 Parla, Madrid, España",+34 919 95 48 87,https://www.ineffabileristorante.com/,True,4.8,4666,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJeYeOY7f1QQ0RLfWBpnwel6I.jpg,propia,,True,no,web moderna
ChIJ63bdbzn1QQ0RLQLw2RvDsXM,Restaurante Don Cirilo,Restaurante,Parla,"C. Alfonso X el Sabio, 20, 28982 Parla, Madrid, España",+34 916 05 30 47,https://doncirilo.shop/,True,4.6,1823,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ63bdbzn1QQ0RLQLw2RvDsXM.jpg,propia,,True,?,no carga (ConnectionError)
ChIJM4Ma7Vz1QQ0RHBMtu8rdg54,Restaurante Manosanto,Restaurante,Parla,"Calle del Planeta Júpiter, 8, 28983 Parla, Madrid, España",+34 919 12 55 81,,False,4.4,576,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJM4Ma7Vz1QQ0RHBMtu8rdg54.jpg,ninguna,,True,,
ChIJ4ZsGLjj1QQ0ROdi_S8X94hw,La Posada Café,Restaurante,Parla,"C. Torrejón, 35, 28982 Parla, Madrid, España",+34 670 08 10 37,http://www.laposadaparla.com/,True,4.6,700,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ4ZsGLjj1QQ0ROdi_S8X94hw.jpg,propia,,True,?,no carga (SSLError)
ChIJ0c4o_ZP1QQ0Ro0fpRyr7rSI,Restaurante Los Laureles,Restaurante,Parla,"Calle París, 1, Pol.ind. Cuidad de Parla (junto al Centro Comercial El Ferial) 28983, C. Roma, 2, 28983 Parla, Madrid, España",+34 916 64 49 78,,False,4,518,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0c4o_ZP1QQ0Ro0fpRyr7rSI.jpg,ninguna,,True,,
