place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Agudo Car - Taller de chapa y pintura en Parla,Taller,Parla,"C. Emilio Bellvis, 36, 28984 Parla, Madrid, España",+34 650 06 39 46,https://www.agudocar.es/,True,,,,propia,,True,,
,Auto Garrido S.L.,Taller,Parla,"C. Reina Victoria, 19, 28982 Parla, Madrid, España",+34 916 98 26 01,,False,,,,ninguna,,True,,
,Autos Extremeños,Taller,Parla,"C. de Getafe, 17, 28981 Parla, Madrid, España",+34 916 05 08 83,,False,,,,ninguna,,True,,
,Boxes Palomo,Taller,Parla,"C. Turín, 13, Nave 4, 28983 Parla, Madrid, España",+34 680 16 28 00,,False,,,,ninguna,,True,,
,Bugauto,Taller,Parla,"C. Icíar Bollaín, 24, 28981 Parla, Madrid, España",+34 636 09 90 62,https://bugautomadridsur.com/,True,,,,propia,,True,,
,Castrol Service Gtr Motor Parla,Taller,Parla,"Av. Cerro del Rubal, 20, 28983 Parla, Madrid, España",+34 916 05 74 43,https://www.gt-rmotor.es/,True,,,,propia,,True,,
,"Castrol Service Talleres Amm, Talleres CGA",Taller,Parla,"C. Isabel II, 41, 28982 Parla, Madrid, España",+34 916 05 35 45,https://www.ammparla.es/,True,,,,propia,,True,,
,Dajomauto,Taller,Parla,"C. Londres, 33, 28983 Parla, Madrid, España",+34 663 85 93 32,,False,,,,ninguna,,True,,
,EMD Reparación de Vehículos,Taller,Parla,"Ctra. Parla Pinto, 27C, nave 6, 28983 Parla, Madrid, España",+34 687 15 29 49,,False,,,,ninguna,,True,,
,Embarba Motor,Taller,Parla,"C. Icíar Bollaín, 65, 28981 Parla, Madrid, España",+34 910 83 56 06,http://www.embarbamotor.com/,True,,,,propia,,True,,
,Mecánica Box Parla,Taller,Parla,"C. Berlín, 60, 28983 Parla, Madrid, España",+34 687 72 37 98,http://www.mecanicaboxparla.com/,True,,,,propia,,True,,
,Midas PARLA/Avd. de las Lagunas,Taller,Parla,"Av. de Las Lagunas, 4, 28981 Parla, Madrid, España",+34 911 67 35 87,https://www.midas.es/talleres-coche-moto-midas/comunidad-de-madrid/madrid/parla/parlaavd-de-las-lagunas_3697,True,,,,propia,,True,,
,TALLERES MARANATHA,Taller,Parla,"C. Londres, 27, 28983 Parla, Madrid, España",+34 603 23 43 50,https://talleresmaranatha.es/,True,,,,propia,,True,,
,Taller Ahdidan,Taller,Parla,"C. Juan de Austria, 3, 28982 Parla, Madrid, España",+34 916 44 19 41,https://talleres-ahdidan.jimdosite.com/,True,,,,builder,,True,,
,Taller Mecánico El Nido,Taller,Parla,"C. la Presa, 4, 28981 Parla, Madrid, España",+34 652 36 09 33,https://tallermecanicoparla.es/talleres-el-nido/,True,,,,propia,,True,,
,Taller Mecánico en Parla - VSR CAR SERVICE - GRUPO TORREJON,Taller,Parla,"C. Icíar Bollaín, 64, 28981 Parla, Madrid, España",+34 916 99 98 34,https://www.grupotorrejon.com/,True,,,,propia,,True,,
,Taller Poyato,Taller,Parla,"Lugar Urbanización De La Fuentebella, 67, 28981 Parla, Madrid, España",+34 916 05 13 73,,False,,,,ninguna,,True,,
,Taller San Chez,Taller,Parla,"C. de Dos Amigos, 25B, 28982 Parla, Madrid, España",+34 919 35 05 33,,False,,,,ninguna,,True,,
,Taller de Mecánica Auto Parla Sur,Taller,Parla,"C. Icíar Bollaín, 7, 28981 Parla, Madrid, España",+34 605 89 84 65,,False,,,,ninguna,,True,,
,Taller mecánico A. Carrasco,Taller,Parla,"C. Reyes Católicos, 65, 28982 Parla, Madrid, España",+34 916 98 28 98,,False,,,,ninguna,,True,,
,Taller mecánico Docar,Taller,Parla,"Calle de Cdad. Real, 4, posterior, 28982 Parla, Madrid, España",+34 916 05 09 49,https://tallermecanicoparla.es/talleres-docar/,True,,,,propia,,True,,
,Tallerbarato.com Neumáticos y Mecánica al mejor precio,Taller,Parla,"Calle Real, S/N, 28991 Torrejón de la Calzada, Madrid, España",+34 918 10 62 39,https://tallerbarato.com/,True,,,,propia,,True,,
,Talleres Auto-Ema,Taller,Parla,"C. de Humanes, 25, 28981 Parla, Madrid, España",+34 635 60 80 42,https://www.instagram.com/tallerautoema/,False,,,,social,,True,,
,Talleres Bello Automoción - Bosch Car Service,Taller,Parla,"Polígono Industrial Cerro del Rubal, C. Turín, 23, 28983 Parla, Madrid, España",+34 916 98 47 85,,False,,,,ninguna,,True,,
,Talleres Fenic,Taller,Parla,"C. Londres, 9, 28983 Parla, Madrid, España",+34 916 05 56 26,"https://www.mapfre.es/seguros/talleres-mapfre/es_ES/parla/calle-londres,-0009-2841792",True,,,,propia,,True,,
,Talleres Herranz,Taller,Parla,"C. Londres, 22, 28983 Parla, Madrid, España",+34 916 05 39 47,,False,,,,ninguna,,True,,
,Talleres Lolicar,Taller,Parla,"C. San Blas, 7, Loc, 28981 Parla, Madrid, España",+34 916 98 52 10,https://sites.google.com/laguia.es/talleres-mejor-oferta/ciudades-municipios/madrid/parla/mecanica-general-en-parla-reparacion-embragues-distribuciones,False,,,,agregador,,True,,
,Talleres Manuel Hurtado | Taller mecánico en Parla,Taller,Parla,"C. Moriles, 3, 28983 Parla, Madrid, España",+34 916 99 26 68,https://www.talleresmanuelhurtado.es/,True,,,,propia,,True,,
,Talleres Martín S.L.,Taller,Parla,"C. Icíar Bollaín, 66, 28981 Parla, Madrid, España",+34 685 87 57 92,,False,,,,ninguna,,True,,
,Talleres Mecanicos Lopez y Muñoz,Taller,Parla,"C. Buenavista, 13, 28983 Parla, Madrid, España",+34 916 99 16 65,,False,,,,ninguna,,True,,
,Talleres Mecánico Multimarca ROKY,Taller,Parla,"C. Alfonso X el Sabio, 5, 28982 Parla, Madrid, España",+34 666 51 31 30,https://talleres-roky.jimdosite.com/,True,,,,builder,,True,,
,Talleres Mecánicos López,Taller,Parla,"Carretera de Madrid Toledo, 0, 28981 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Talleres Modcars S.L,Taller,Parla,"Ctra. Parla Pinto, km 1, 5, 28983 Parla, Madrid, España",+34 624 65 02 86,,False,,,,ninguna,,True,,
,Talleres Ochoa RecOficial Service,Taller,Parla,"C. Severo Ochoa, 5, 28981 Parla, Madrid, España",+34 916 98 46 39,,False,,,,ninguna,,True,,
,Talleres RR,Taller,Parla,"C. Amsterdam, 13, 28983 Parla, Madrid, España",+34 910 16 03 90,http://talleresrrmadrid.com/,True,,,,propia,,True,,
,Talleres Rifauto,Taller,Parla,"C. Londres, 62, 28983 Parla, Madrid, España",+34 633 26 54 46,,False,,,,ninguna,,True,,
,Tecnología Mecánica Benito S.L.,Taller,Parla,"C. San Sebastián, 2, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Tito,Taller,Parla,"C. Isaac Albéniz, 16, 28981 Parla, Madrid, España",+34 916 98 17 36,,False,,,,ninguna,,True,,
