place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJdx7iCQD1QQ0RMBnT66PS5Yg,HOLA UÑA,Unas,Parla,"Calle de Cdad. Real, 23, Loc, 28982 Parla, Madrid, España",+34 642 99 07 04,,False,4.8,36,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJdx7iCQD1QQ0RMBnT66PS5Yg.jpg,,True,ninguna
ChIJLVwqnhn1QQ0R0mHS0iibQtQ,Dejavu Nail Parla,Unas,Parla,"C. Reina Victoria, 10, 28982 Parla, Madrid, España",+34 612 45 78 68,https://www.instagram.com/dejavunail10/profilecard/?igsh=OWpycmE0a2Q0eXFs,False,4.7,75,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJLVwqnhn1QQ0R0mHS0iibQtQ.jpg,,True,social
ChIJeeQSNmz1QQ0RDKy-AXf7jZo,Miora Nail · Salón de Uñas,Unas,Parla,"C. Rio Lozoya, 3, 28981 Parla, Madrid, España",+34 614 92 20 58,https://booksy.com/es-es/182938_miora-nail_salon-de-unas_53768_parla,True,5,14,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJeeQSNmz1QQ0RDKy-AXf7jZo.jpg,,True,propia
ChIJJzBOPTn1QQ0RPMFT277pgIA,Color Uña,Unas,Parla,"C. Alfonso XIII, 3, 28982 Parla, Madrid, España",+34 624 07 72 15,,False,4.6,111,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJJzBOPTn1QQ0RPMFT277pgIA.jpg,,True,ninguna
ChIJ5R4wxPb1QQ0RVC-BNIoKQVw,DL Nails Designer,Unas,Parla,"C. de Fernando III El Santo, 15, 28982 Parla, Madrid, España",+34 614 37 27 54,https://beacons.ai/dlnailsdesigner,True,5,57,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ5R4wxPb1QQ0RVC-BNIoKQVw.jpg,,True,propia
ChIJ596WNFH1QQ0RFUVYOOctEE8,Consentía Nails Studio by Arancha García,Unas,Parla,"C. del Planeta Saturno, 9, Loc 5F, 28983 Parla, Madrid, España",+34 624 61 72 18,https://consentiastudio.com/,True,4.8,300,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ596WNFH1QQ0RFUVYOOctEE8.jpg,,True,propia
ChIJiTq_agD1QQ0RJaksqZQKU9U,L.Y Queen Nails,Unas,Parla,"C. del Planeta Venus, 12, loca8b, 28983 Parla, Madrid, España",+34 919 47 73 90,,False,4.4,70,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJiTq_agD1QQ0RJaksqZQKU9U.jpg,,True,ninguna
ChIJURJN6k71QQ0RjF_Gd0_WfUI,Nails Factory Parla El Ferial,Unas,Parla,"C. de Pinto, s/n, 28980 Parla, Madrid, España",+34 604 82 28 55,https://www.nailsfactory.es/centros/nails-factory-parla-c-c-el-ferial/,True,4,303,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJURJN6k71QQ0RjF_Gd0_WfUI.jpg,elferial@nailsfactory.es,False,propia
ChIJ8RFa2NP1QQ0RSp8ZFV8vq1k,U.mi uñas,Unas,Parla,"C. Jerusalén, 3, 28981 Parla, Madrid, España",+34 611 52 13 56,,False,4.9,41,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ8RFa2NP1QQ0RSp8ZFV8vq1k.jpg,,True,ninguna
ChIJX98HNwD1QQ0RVy57KAYIugI,Uñas SuKi,Unas,Parla,"C. Reina Victoria, 19, 28982 Parla, Madrid, España",+34 658 58 28 18,https://www.instagram.com/unas_suki?igsh=eWpzYmxjMWVsanRr&utm_source=qr,False,4.3,104,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJX98HNwD1QQ0RVy57KAYIugI.jpg,,True,social
ChIJxRVBoq_1QQ0RyPDoKCH5MF4,MEDELLIN NAILS,Unas,Parla,"Pl. los Hoyos, 1, Loc 2, 28981 Parla, Madrid, España",+34 633 75 42 29,https://www.instagram.com/medellinnailss/,False,4.8,139,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJxRVBoq_1QQ0RyPDoKCH5MF4.jpg,,True,social
ChIJXyStZzn1QQ0RvylfjlIpW4I,Ponte de Uñas,Unas,Parla,"C. Jaime I el Conquistador, 17, 28982 Parla, Madrid, España",+34 916 05 50 89,https://parla365.es/clinicas/esteticas/#ponte_de_u_as,True,4.5,261,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJXyStZzn1QQ0RvylfjlIpW4I.jpg,,True,propia
ChIJEZSQKTf1QQ0RikraWrw_JJI,Vogue Nail,Unas,Parla,"C. San Antón, 58, 28982 Parla, Madrid, España",+34 692 86 12 22,,False,4.3,119,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJEZSQKTf1QQ0RikraWrw_JJI.jpg,,True,ninguna
ChIJZTMwxYb1QQ0RvtsOjj4NDmk,Ali Nails Maison Belleza,Unas,Parla,"Av. del Sistema Solar, 3, 28983 Parla, Madrid, España",+34 643 03 64 34,http://toonailsbeauty.booksy.com/h/,True,4.4,135,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZTMwxYb1QQ0RvtsOjj4NDmk.jpg,,True,propia
ChIJaZ7Vo6_1QQ0RimKo-_ZEWOI,Dary Nails Uñas Parla,Unas,Parla,"Calle de la Macarena, 44, 28982 Parla, Madrid, España",+34 671 37 33 43,https://darynailsboutique.mytreatwell.es/#contact,True,4.9,54,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJaZ7Vo6_1QQ0RimKo-_ZEWOI.jpg,fannydamary@icloud.com,False,propia
ChIJmySNbyT1QQ0R4BKH26alnd4,Mia Nails,Unas,Parla,"C. Alfonso X el Sabio, 38, 28982 Parla, Madrid, España",+34 611 57 34 74,https://www.instagram.com/mianails.es?igsh=czgxeGMzamFhdGl6,False,5,12,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJmySNbyT1QQ0R4BKH26alnd4.jpg,,True,social
ChIJtUeiBwAfQg0Rj_0z4YHdl-s,NT Nails El Ferial,Unas,Parla,"C. de Pinto, s/n, 28980 Parla, Madrid, España",+34 631 73 11 98,,False,4.3,35,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJtUeiBwAfQg0Rj_0z4YHdl-s.jpg,,True,ninguna
ChIJ29UYOkn1QQ0RGCbDanyFsuA,S·UÑAS STUDIO,Unas,Parla,"C. de Pinto, 60, 28982 Parla, Madrid, España",+34 913 23 61 43,,False,4.3,29,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ29UYOkn1QQ0RGCbDanyFsuA.jpg,,True,ninguna
ChIJdeLLQV71QQ0Rs-GuSmS6QpY,Alondra nails,Unas,Parla,"C. Segovia, 9, 28982 Parla, Madrid, España",+34 642 11 98 36,https://instagram.com/alondra_nails06?igshid=MzMyNGUyNmU2YQ==&utm_source=qr,False,5,5,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJdeLLQV71QQ0Rs-GuSmS6QpY.jpg,,True,social
ChIJjYaR6wb1QQ0ReSpHO5hTj9g,Quality Nails,Unas,Parla,"C. Juan de Austria, 28982 Parla, Madrid, España",+34 611 63 58 55,https://www.instagram.com/qualitynails_?igsh=OW0wbnp0ZDRxeWtp&utm_source=qr,False,4.9,36,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJjYaR6wb1QQ0ReSpHO5hTj9g.jpg,,True,social
ChIJ_wtGlkb1QQ0RxNIfbeMB_GY,Q NAILS,Unas,Parla,"C. Isabel II, 24, 28982 Parla, Madrid, España",+34 641 02 25 48,,False,4.6,20,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ_wtGlkb1QQ0RxNIfbeMB_GY.jpg,,True,ninguna
ChIJt61rgB_1QQ0RKMXtOVUZH04,Eva Uñas,Unas,Parla,"C. Jerusalén, 24, 28981 Parla, Madrid, España",+34 688 57 24 17,,False,4.1,65,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJt61rgB_1QQ0RKMXtOVUZH04.jpg,,True,ninguna
ChIJ_XRdHI_1QQ0RjcKQy1s0bpQ,"Uñas, curso manicura rusa (corrnails)",Unas,Parla,"C. Isabel II, 39, 28982 Parla, Madrid, España",+34 615 68 60 03,http://corrnails.booksy.com/,True,4.6,50,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ_XRdHI_1QQ0RjcKQy1s0bpQ.jpg,,True,propia
ChIJnbPf6Tn1QQ0R2dUT3B6jWTc,Vintage Beauty,Unas,Parla,"C\Macarena, esquina, C. Santo Tomás de Aquino, 17A, 28982 Parla, Madrid, España",+34 916 05 78 95,http://www.vintagebeauty.es/,True,4.6,89,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJnbPf6Tn1QQ0R2dUT3B6jWTc.jpg,vb.vintage.beauty@gmail.com,False,propia
ChIJrSFuzxr1QQ0Rt7RIT3LTxh8,Beautiful Nails by Agata,Unas,Parla,"C. Constelación de Casiopea, 28983 Parla, Madrid, España",+34 670 01 62 08,https://instagram.com/agata_beautifulnails?igshid=YmMyMTA2M2Y=,False,5,22,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJrSFuzxr1QQ0Rt7RIT3LTxh8.jpg,,True,social
ChIJAdDcNmT1QQ0RvZb0hm1KjqY,EMILY NAILS,Unas,Parla,"C. de Juan XXIII, 9, Loc B, 28982 Parla, Madrid, España",+34 675 56 44 39,http://emilynails27.booksy.com/a/,True,5,8,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJAdDcNmT1QQ0RvZb0hm1KjqY.jpg,,True,propia
