place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AniCura Vetsia Hospital,Veterinario,Parla,"C. Galileo, 3, 28914 Leganés, Madrid, España",+34 914 98 41 12,https://www.anicura.es/clinicas/vetsia-hospital-veterinario/,True,,,,propia,,True,,
,Centro HGVET Quintana. Urgencias 24h,Veterinario,Parla,"C. del Río Ulla, 15, Cdad. Lineal, 28017 Madrid, España",+34 914 07 80 02,http://www.clinicaveterinariaquintana.es/,True,,,,propia,,True,,
,Centro Veterinario Dr. Deza,Veterinario,Parla,"C. San Roque, 48, 28982 Parla, Madrid, España",+34 916 98 05 97,,False,,,,ninguna,,True,,
,Centro Veterinario Las Américas,Veterinario,Parla,"C. Reyes Católicos, 10, 28982 Parla, Madrid, España",+34 916 98 59 49,http://clinicaveterinarialasamericas.com/,True,,,,propia,,True,,
,Clinica Veterinaria Las Lagunas,Veterinario,Parla,"Av. de Las Lagunas, 13110, 28981 Parla, Madrid, España",+34 910 51 80 38,http://www.cvlaslagunas.es/,True,,,,propia,,True,,
,Clínica Veterinaria Kirovet Shalom S.L.,Veterinario,Parla,"Av. del Leguario, 135, 28981 Parla, Madrid, España",+34 918 68 30 59,https://clinicaveterinariakirovet.es/,True,,,,propia,,True,,
,Clínica Veterinaria Parla Este,Veterinario,Parla,"Calle del Planeta Júpiter, 1, Loc 3, 28983 Parla, Madrid, España",+34 914 24 90 57,http://www.veterinariaparlaeste.com/,True,,,,propia,,True,,
,Evidensia Aluche Hospital Veterinario,Veterinario,Parla,"C. de Illescas, 215, Latina, 28047 Madrid, España",+34 917 17 73 28,https://evidensia.es/madrid/hospital-veterinario-evidensia-aluche,True,,,,propia,,True,,
,Evidensia Parla Sur Hospital Veterinario,Veterinario,Parla,"Av. de Ronda, 14, 28981 Parla, Madrid, España",+34 916 98 98 49,https://parlasurveterinario.com/,True,,,,propia,,True,,
,Hgvet - Clínica Veterinaria Venus,Veterinario,Parla,"C. del Planeta Venus, 8, 28983 Parla, Madrid, España",+34 914 24 41 61,https://hgvet.pet/cv-venus/,True,,,,propia,,True,,
,PARLAVET Centro Veterinario,Veterinario,Parla,"Calle Real, 3, 28981 Parla, Madrid, España",+34 916 99 76 01,https://veterinarioparla.es/,True,,,,propia,,True,,
,Tres Valles - Clínica Veterinaria 24h,Veterinario,Parla,"Vía de las Dos Castillas, 9A, 28224 Pozuelo de Alarcón, Madrid, España",+34 654 91 65 66,https://tresvallescv.com/,True,,,,propia,,True,,
,centro veterinario El Nido,Veterinario,Parla,"C. de Alcorcón, 19, 28981 Parla, Madrid, España",+34 916 05 02 82,https://www.centroveterinarioelnido.es/,True,,,,propia,,True,,
