place_id,business_name,phone,city,type_label,slug,motivo,fecha_rechazo
ChIJPXifFNP1QQ0RWd-GoKWOui8,SALON DE BELLEZA MOVAR S. L,+34 641 35 77 80,Parla,Unas,salon-de-belleza-movar-s-l-parla,manual,2026-09-14T09:37:50.492Z
ChIJ5XIvujqPQQ0RPHOUjfxcrWQ,22 Nails,+34 643 45 68 52,Alcorcon,Unas,22-nails-alcorcon,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJi1CyI5IhQg0RlnzJo_Wb2g8,ALAU Hair Studio,+34 676 88 93 66,Getafe,Peluqueria,alau-hair-studio-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJhW4dxZCLQQ0R9v2pAfxWJEY,Albiach Estilistas,+34 916 07 31 74,Fuenlabrada,Peluqueria,albiach-estilistas-fuenlabrada,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJwbwH84mJQQ0Rcg6zgvR0gAo,Anna Uña Salón de Belleza,+34 698 51 97 43,Leganes,Unas,anna-una-salon-de-belleza-leganes,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
ChIJZyaGJfQhQg0RPmTWUElQDjo,Atelier 42 Estilistas Peluquería y Barbería en Getafe,+34 633 68 27 90,Getafe,Peluqueria,atelier-42-estilistas-peluqueria-y-barberia-en-getafe-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
,Autoescuela Lara Leganés,+34 685 74 63 41,Leganes,Autoescuela,autoescuela-lara-leganes-leganes,manual,2026-09-24T17:29:20.580Z
ChIJcZDx3M4gQg0R4cbNpFM8Lnk,Bar restaurante El Rincón del Tío Eulogio,+34 916 01 73 02,Getafe,Restaurante,bar-restaurante-el-rincon-del-tio-eulogio-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJ0dJk776OQQ0RbdProLRkOa0,Bárbara Collado Gabinete de belleza & bienestar,+34 620 38 22 38,Alcorcon,Unas,barbara-collado-gabinete-de-belleza-bienestar-alcorcon,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJU_wQlUeJQQ0RV5Z1rBTO9IQ,"Barberia LEVEL UP (Parque Lisboa, Alcorcon)",+34 614 30 36 72,Alcorcon,Peluqueria,barberia-level-up-parque-lisboa-alcorcon-alcorcon,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
ChIJ6UgYquuOQQ0RlG0v2e10Bew,Beaucarnea Floristeria,+34 916 89 01 01,Mostoles,Floristeria,beaucarnea-floristeria-mostoles,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJQ27AqJ6PQQ0RQZemTygNTyg,Beauty Nail (salon uñas de Vietnamita),+34 631 71 94 19,Alcorcon,Unas,beauty-nail-salon-unas-de-vietnamita-alcorcon,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJdwpNWgePQQ0Rxexs_-eCE7Y,Bloom Nails,+34 614 33 43 59,Alcorcon,Unas,bloom-nails-alcorcon,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
ChIJvzR5txiLQQ0RlPtK3AeUVuQ,Candela Nails Fuenlabrada,+34 641 00 61 71,Fuenlabrada,Unas,candela-nails-fuenlabrada-fuenlabrada,auto_15_dias_sin_respuesta,2026-09-26T00:00:45.548Z
ChIJna1AB8KPQQ0RyEojIW2aXvc,Carolina Ocaña Nails Studio,+34 657 61 87 60,Alcorcon,Unas,carolina-ocana-nails-studio-alcorcon,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJz6uIDo6PQQ0R_OqKrJ4fYVw,Centro de belleza Mímate & Cuídate M&C,+34 611 80 84 60,Alcorcon,Peluqueria,centro-de-belleza-mimate-cuidate-m-c-alcorcon,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.082Z
ChIJN-vK9m6JQQ0Rl8xCISM32FA,Centro de estética Alcorcón MarFerrera,+34 647 91 69 89,Alcorcon,Unas,centro-de-estetica-alcorcon-marferrera-alcorcon,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJOSLR9xCJQQ0Rt8EBp7X57o0,Centro De Uñas Y Estética Elizabeth,+34 612 44 19 11,Leganes,Unas,centro-de-unas-y-estetica-elizabeth-leganes,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
ChIJp5DQkkEhQg0RoV7b9bAt7Nw,Ceres Clinica Dental,+34 683 34 63 00,Getafe,Dental,ceres-clinica-dental-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJK4K8P5ogQg0RpU-DmCUQIg8,César Goméz Estilistas,+34 916 95 40 02,Getafe,Peluqueria,cesar-gomez-estilistas-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJz9iag3qLQQ0RRxkg9IpPs5I,CiCi Nail,+34 614 12 67 44,Fuenlabrada,Unas,cici-nail-fuenlabrada,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJVYMtceogQg0RgYKN77LNBiI,Clínica Arco Dental Getafe,+34 624 36 33 78,Getafe,Dental,clinica-arco-dental-getafe-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJ2UvpOJQgQg0RoHcK1d4cUFA,Clínica Dental Barrutia,+34 916 95 29 12,Getafe,Dental,clinica-dental-barrutia-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJoQAqJ8IgQg0RRznUbkKh9KE,Clínica Dental Del Saz Camacho,+34 916 01 92 29,Getafe,Dental,clinica-dental-del-saz-camacho-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJeVFVyzEhQg0RQwCG1gWFhPs,Clínica Dental Dr. DAVID VALERO,+34 910 54 02 65,Getafe,Dental,clinica-dental-dr-david-valero-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJ2TMmm5AgQg0R7Vj-A5o0NvU,Clínica Dental Dra. Cuadrado,+34 916 82 18 42,Getafe,Dental,clinica-dental-dra-cuadrado-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJ93DQwJYgQg0Ri0eaPxctA0w,Clínica Dental Dra. Hita,+34 916 96 67 95,Getafe,Dental,clinica-dental-dra-hita-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJCV9ZsRKLQQ0RIDJcg2WbpqE,CLÍNICA DENTAL ESTEBAN PELLICER,+34 623 98 12 27,Getafe,Dental,clinica-dental-esteban-pellicer-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJASR33Y4hQg0RhcZ2RnmDcWk,Clínica Grupo Dental Cibeles- Getafe,+34 690 22 53 21,Getafe,Dental,clinica-grupo-dental-cibeles-getafe-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJ5xCinq8gQg0RHGZjmExWza8,Clínica Smilodon,+34 914 91 40 27,Getafe,Dental,clinica-smilodon-getafe,auto_15_dias_sin_respuesta,2026-09-25T00:00:54.084Z
ChIJD5oFkkaJQQ0RVC6O6x-SPIU,Copacabana Beauty,+34 603 53 32 36,Alcorcon,Peluqueria,copacabana-beauty-alcorcon,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
ChIJkRyd4n8hQg0Rt-13uGK0Coo,DOMINGA FLORES,+34 609 42 29 03,Getafe,Floristeria,dominga-flores-getafe,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
ChIJkRyd4n8hQg0Rt-13uGK0Coo,DOMINGA FLORES,+34 609 42 29 03,Leganes,Floristeria,dominga-flores-leganes,auto_15_dias_sin_respuesta,2026-09-24T00:00:43.907Z
